"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"28","2017-2018","668977","Academy of Math and English","Secondary",NA,NA,11,17,11,17,208088
"29","2017-2018","669883","Academy of Royal International Education","Secondary",NA,NA,NA,5,NA,5,208088
"30","2017-2018","666548","Académie Providence Soeurs Antonines","Elementary",44,43,NA,NA,44,43,208088
"31","2017-2018","876275","Académie Ste Cécile International","Elem/Sec",80,77,68,56,148,133,208088
"32","2017-2018","878731","Académie de la Capitale","Elem/Sec",27,23,5,5,NA,NA,208088
"33","2017-2018","884408","Acheron College (Beaver Creek/Fenbrook)","Secondary",NA,NA,149,5,149,5,208088
"34","2017-2018","880977","Acheron College (Collins Bay)","Secondary",NA,NA,204,5,204,5,208088
"35","2017-2018","669520","Acheron College (Grand Valley)","Elem/Sec",5,NA,5,71,5,71,208088
"36","2017-2018","881692","Acheron College (Joyceville/Pittsburgh)","Secondary",NA,NA,128,5,128,5,208088
"37","2017-2018","667407","Acheron College (Millhaven/Bath)","Secondary",NA,NA,200,NA,200,NA,208088
"38","2017-2018","881407","Acheron College (Warkworth)","Secondary",NA,NA,135,NA,135,NA,208088
"39","2017-2018","882297","Adam School","Elem/Sec",NA,NA,11,5,11,5,208088
"40","2017-2018","877514","Adelfiha's Christian Academy","Elementary",5,13,NA,NA,5,13,208088
"41","2017-2018","663832","Adults in Motion Private School","Secondary",NA,NA,5,14,5,14,208088
"42","2017-2018","665717","Adventist Christian Elementary School","Elementary",11,15,NA,NA,11,15,208088
"43","2017-2018","667455","Afzal Islamic Montessori & Academy","Elementary",5,15,NA,NA,5,15,208088
"44","2017-2018","875546","Agate Private School","Elem/Sec",5,5,5,5,5,5,208088
"45","2017-2018","883230","Agincourt International Academy","Secondary",NA,NA,54,36,54,36,208088
"46","2017-2018","878456","Agincourt Montessori School Inc","Elementary",5,5,NA,NA,5,5,208088
"47","2017-2018","663689","Aglace Chapman Education Centre","Elem/Sec",NA,NA,24,14,24,14,208088
"48","2017-2018","665991","Ahlul Bayt Islamic School","Elementary",68,94,NA,NA,68,94,208088
"49","2017-2018","883477","Ahmadiyya Elementary School","Elementary",66,79,NA,NA,66,79,208088
"50","2017-2018","882545","Aims High School","Secondary",NA,NA,5,5,5,5,208088
"51","2017-2018","877760","Al Azhar Islamic School","Elementary",33,37,NA,NA,33,37,208088
"52","2017-2018","881297","Al Furqan School","Elementary",19,16,NA,NA,19,16,208088
"53","2017-2018","883124","Al Haadi (9828770 Canada Institute)","Elementary",38,26,NA,NA,38,26,208088
"54","2017-2018","669831","Al Huda Elementary School","Elementary",143,211,NA,NA,143,211,208088
"55","2017-2018","884792","Al-Ameen Elementary School","Elementary",98,116,NA,NA,98,116,208088
"56","2017-2018","887920","Al-Azhar Academy of Canada","Elementary",88,93,NA,NA,88,93,208088
"57","2017-2018","878472","Al-Falah Islamic","Elementary",87,129,NA,NA,87,129,208088
"58","2017-2018","667583","Al-Hidayah Academy Inc","Elementary",39,17,NA,NA,39,17,208088
"59","2017-2018","878090","Al-Hijra","Elementary",164,183,NA,NA,164,183,208088
"60","2017-2018","886011","Al-Ikhlaas Foundation School","Elem/Sec",35,32,14,14,49,46,208088
"61","2017-2018","876585","Al-Iman School","Elementary",18,20,NA,NA,18,20,208088
"62","2017-2018","876003","Al-Madrasah Al-Inamiyyah Private School","Elem/Sec",NA,NA,18,5,18,5,208088
"63","2017-2018","667350","Al-Qasim Academy","Elementary",13,5,NA,NA,13,5,208088
"64","2017-2018","667550","Al-Rassool Islamic School","Elementary",15,22,NA,NA,15,22,208088
"65","2017-2018","665670","Al-Risala Academy","Elem/Sec",52,58,41,27,93,85,208088
"66","2017-2018","669858","Al-Sadeq Academy","Elementary",27,41,NA,NA,27,41,208088
"67","2017-2018","665037","Al-Taqwa Academy","Elem/Sec",86,80,26,28,112,108,208088
"68","2017-2018","665033","Alanwar School","Elementary",26,47,NA,NA,26,47,208088
"69","2017-2018","882776","Alathena International - North York","Secondary",NA,NA,24,16,24,16,208088
"70","2017-2018","669761","Alathena International Academy","Secondary",NA,NA,20,5,20,5,208088
"71","2017-2018","668600","Alathena International Academy - Brimley","Secondary",NA,NA,5,5,5,5,208088
"72","2017-2018","669020","Alathena International Academy - Elgin M","Secondary",NA,NA,5,5,5,5,208088
"73","2017-2018","883349","Alathena International Academy - Finch W","Secondary",NA,NA,5,NA,5,NA,208088
"74","2017-2018","884699","Alathena International Academy - Markham","Secondary",NA,NA,22,15,22,15,208088
"75","2017-2018","884721","Alathena International Academy - Richmon","Secondary",NA,NA,11,11,11,11,208088
"76","2017-2018","885126","Albert College","Elem/Sec",71,63,67,68,138,131,208088
"77","2017-2018","666998","Alborz Education Centre","Elem/Sec",5,5,56,46,NA,NA,208088
"78","2017-2018","668247","Alden International School","Secondary",NA,NA,12,5,12,5,208088
"79","2017-2018","887189","Alive Christian Academy International","Elem/Sec",5,NA,5,5,5,5,208088
"80","2017-2018","883467","Alive Montessori & Private School","Elementary",5,11,NA,NA,5,11,208088
"81","2017-2018","666085","Alliance Coaching Academy","Secondary",NA,NA,19,16,19,16,208088
"82","2017-2018","881724","Alliston Community Christian School","Elementary",38,30,NA,NA,38,30,208088
"83","2017-2018","882302","Alpha Quality Education Inc","Secondary",NA,NA,25,22,25,22,208088
"84","2017-2018","668857","Alpha Star High School","Secondary",NA,NA,10,14,10,14,208088
"85","2017-2018","882652","Amanah Academy North America Foundation","Elem/Sec",52,79,14,12,66,91,208088
"86","2017-2018","669258","Ambassadors Christian School","Elementary",5,10,NA,NA,5,10,208088
"87","2017-2018","667063","Amberson College","Secondary",NA,NA,58,44,58,44,208088
"88","2017-2018","884298","Amberson High School","Secondary",NA,NA,40,28,40,28,208088
"89","2017-2018","887447","Amish Parochial School #1","Elementary",16,18,NA,NA,16,18,208088
"90","2017-2018","887846","Amish Parochial School #2","Elementary",14,26,NA,NA,14,26,208088
"91","2017-2018","887854","Amish Parochial School #3","Elementary",16,16,NA,NA,16,16,208088
"92","2017-2018","887706","Amish Parochial School #4","Elementary",18,12,NA,NA,18,12,208088
"93","2017-2018","889687","Amish Parochial School #5","Elementary",11,11,NA,NA,11,11,208088
"94","2017-2018","882631","Amish Parochial School #6","Elementary",5,5,NA,NA,5,5,208088
"95","2017-2018","876364","Amish Parochial School #7","Elementary",5,14,NA,NA,5,14,208088
"96","2017-2018","665285","Amish Parochial school #8","Elementary",17,14,NA,NA,17,14,208088
"97","2017-2018","877115","An-Noor Private School","Elementary",133,139,NA,NA,133,139,208088
"98","2017-2018","886428","Apollo High School","Secondary",NA,NA,5,5,5,5,208088
"99","2017-2018","885924","Appleby College","Elem/Sec",62,64,325,312,387,376,208088
"100","2017-2018","882456","Applewood Academy and Daycare","Elementary",12,5,NA,NA,12,5,208088
"101","2017-2018","666599","Aristotele's Credit School","Secondary",NA,NA,73,104,73,104,208088
"102","2017-2018","880779","Arrowsmith School","Elem/Sec",21,19,5,5,NA,NA,208088
"103","2017-2018","668374","Arrowsmith School Peterborough","Elem/Sec",14,5,5,5,NA,5,208088
"104","2017-2018","665378","Arthur Christian School","Elem/Sec",79,67,5,5,NA,NA,208088
"105","2017-2018","667420","Arts and Science Academy of Canada","Elem/Sec",5,17,NA,5,5,NA,208088
"106","2017-2018","876798","As-Sadiq Islamic","Elem/Sec",294,370,19,24,313,394,208088
"107","2017-2018","886297","Ashbury College","Elem/Sec",96,79,281,250,377,329,208088
"108","2017-2018","881729","Aspiration Academy","Elementary",12,5,NA,NA,12,5,208088
"109","2017-2018","889156","Associated Hebrew Schools of Toronto","Elementary",183,153,NA,NA,183,153,208088
"110","2017-2018","887315","Associated Hebrew Schools of Toronto","Elementary",349,374,NA,NA,349,374,208088
"111","2017-2018","666610","Astolot Education Centre","Elem/Sec",17,5,5,5,NA,5,208088
"112","2017-2018","877212","Attercliffe Canadian Reformed Elementary","Elementary",75,82,NA,NA,75,82,208088
"113","2017-2018","669799","Aurora International School","Elementary",5,15,NA,NA,5,15,208088
"114","2017-2018","884995","Aurora Montessori School","Elem/Sec",157,157,5,5,NA,NA,208088
"115","2017-2018","885099","Aurora Preparatory Academy","Elementary",51,35,NA,NA,51,35,208088
"116","2017-2018","669532","Autumn Hill Academy","Elementary",38,39,NA,NA,38,39,208088
"117","2017-2018","666815","Avalon Children's Montessori School","Elementary",35,22,NA,NA,35,22,208088
"118","2017-2018","663581","Baibombeh Anishinabe School","Elem/Sec",NA,NA,26,19,26,19,208088
"119","2017-2018","885730","Baig Academy","Secondary",NA,NA,23,5,23,5,208088
"120","2017-2018","877662","Bais Chaya Mushka","Elementary",NA,236,NA,NA,NA,236,208088
"121","2017-2018","878774","Bais Chomesh High School for Girls","Secondary",NA,NA,NA,89,NA,89,208088
"122","2017-2018","888486","Bais Yaakov Elementary School","Elementary",NA,897,NA,NA,NA,897,208088
"123","2017-2018","887583","Baitul Mukarram Academy - Boys Section","Elementary",16,25,NA,NA,16,25,208088
"124","2017-2018","887316","Balanced Education Network B.E.N. School","Elementary",15,5,NA,NA,15,5,208088
"125","2017-2018","887463","Balsam Grove Parochial","Elementary",14,14,NA,NA,14,14,208088
"126","2017-2018","876135","Bannockburn School","Elementary",53,39,NA,NA,53,39,208088
"127","2017-2018","883576","Barrie Montessori & Elementary Private S","Elementary",25,31,NA,NA,25,31,208088
"128","2017-2018","663670","Batchewana Learning Centre","Secondary",NA,NA,16,14,16,14,208088
"129","2017-2018","881988","Bayfield School","Elem/Sec",5,5,5,5,15,5,208088
"130","2017-2018","887188","Bayview Glen","Elem/Sec",120,127,169,146,289,273,208088
"131","2017-2018","884645","Bayview Glen (Elementary)","Elementary",203,199,NA,NA,203,199,208088
"132","2017-2018","886319","Beacon Christian Elementary School","Elementary",117,111,NA,NA,117,111,208088
"133","2017-2018","666670","Beacon House International College","Elem/Sec",5,NA,12,5,NA,5,208088
"134","2017-2018","668904","Beacon of Light Private Elementary Schoo","Elementary",5,5,NA,NA,5,5,208088
"135","2017-2018","884634","Beaver Valley Parochial School","Elementary",21,16,NA,NA,21,16,208088
"136","2017-2018","668367","Beaverbrook Math Academy","Secondary",NA,NA,21,36,21,36,208088
"137","2017-2018","887455","Beechvale Parochial School","Elementary",11,5,NA,NA,11,5,208088
"138","2017-2018","666432","Behaviour Innovations, Children's Colleg","Elementary",5,5,NA,NA,5,5,208088
"139","2017-2018","886521","Belleville District Christian School","Elementary",40,32,NA,NA,40,32,208088
"140","2017-2018","886209","Belleville Montessori School","Elementary",20,20,NA,NA,20,20,208088
"141","2017-2018","665087","Bellstone Christian School","Elementary",46,54,NA,NA,46,54,208088
"142","2017-2018","667602","Berean Baptist Church and Academy","Elem/Sec",5,5,5,NA,5,5,208088
"143","2017-2018","887196","Beth Jacob Private School","Secondary",NA,NA,NA,215,NA,215,208088
"144","2017-2018","889024","Bethel Baptist Academy","Elem/Sec",10,5,5,5,NA,5,208088
"145","2017-2018","884506","Bethune Memorial School","Secondary",NA,NA,NA,5,NA,5,208088
"146","2017-2018","667698","Beyond Montessori School Inc.","Elementary",17,17,NA,NA,17,17,208088
"147","2017-2018","887200","Bialik Hebrew Day School","Elementary",538,547,NA,NA,538,547,208088
"148","2017-2018","884706","Bibleway Ministries Christian Learning C","Elementary",5,11,NA,NA,5,11,208088
"149","2017-2018","663816","Biigtigong Nishnaabeg","Secondary",NA,NA,5,5,5,5,208088
"150","2017-2018","663582","Bimose Community High School","Secondary",NA,NA,30,28,30,28,208088
"151","2017-2018","885865","Birchas Shmuel","Secondary",NA,NA,14,NA,14,NA,208088
"152","2017-2018","665048","Birmingham Academy","Secondary",NA,NA,5,5,5,5,208088
"153","2017-2018","668260","Birmingham Int'l Collegiate of Can","Secondary",NA,NA,263,246,263,246,208088
"154","2017-2018","883808","Bishop Hamilton Montessori School","Elementary",64,65,NA,NA,64,65,208088
"155","2017-2018","886840","Bishop Strachan School, The","Elem/Sec",NA,419,5,488,5,907,208088
"156","2017-2018","668131","Black Creek Parochial","Elementary",13,5,NA,NA,13,5,208088
"157","2017-2018","888893","Blaisdale Montessori","Elementary",453,413,NA,NA,453,413,208088
"158","2017-2018","669713","Blue Crescent School","Elementary",18,16,NA,NA,18,16,208088
"159","2017-2018","884414","Blue Gene Education","Secondary",NA,NA,5,NA,5,NA,208088
"160","2017-2018","668997","Blue Sky School","Elementary",5,5,NA,NA,5,5,208088
"161","2017-2018","885564","Blueberry Creek Forest School & Nature C","Elementary",11,5,NA,NA,11,5,208088
"162","2017-2018","887422","Blyth Academy - Burlington","Elem/Sec",10,5,50,21,60,NA,208088
"163","2017-2018","883574","Blyth Academy - Lawrence Park","Secondary",NA,NA,106,111,106,111,208088
"164","2017-2018","668286","Blyth Academy - London","Secondary",NA,NA,291,257,291,257,208088
"165","2017-2018","885121","Blyth Academy - Ottawa","Elem/Sec",5,5,14,5,NA,10,208088
"166","2017-2018","666899","Blyth Academy - Whitby","Elem/Sec",11,5,19,30,30,NA,208088
"167","2017-2018","888339","Blyth Academy @ CIHA","Elem/Sec",5,NA,68,NA,NA,NA,208088
"168","2017-2018","886220","Blyth Academy Downsview Park","Elem/Sec",30,5,57,5,87,15,208088
"169","2017-2018","666976","Blyth Academy Global High School","Secondary",NA,NA,5,16,5,16,208088
"170","2017-2018","883890","Blyth Academy Mississauga - Adamson","Secondary",NA,NA,85,74,85,74,208088
"171","2017-2018","882941","Blyth Academy Mississauga - Cawthra","Elem/Sec",5,5,15,10,NA,NA,208088
"172","2017-2018","882760","Blyth Academy Ottawa Upper School","Secondary",NA,NA,69,47,69,47,208088
"173","2017-2018","666143","Blyth Academy Thornhill","Secondary",NA,NA,62,58,62,58,208088
"174","2017-2018","665314","Blyth Academy Waterloo","Elem/Sec",NA,NA,14,15,14,15,208088
"175","2017-2018","666580","Blyth Academy Yorkville","Secondary",NA,NA,76,68,76,68,208088
"176","2017-2018","881671","Blytheswood Community Christian School","Elem/Sec",92,82,5,5,NA,NA,208088
"177","2017-2018","888885","Bnei Akiva School - Ulpanat Orot","Secondary",NA,NA,NA,119,NA,119,208088
"178","2017-2018","883749","Bnei Akiva School - Yeshivat Or Chaim","Secondary",NA,NA,122,NA,122,NA,208088
"179","2017-2018","878766","Bnos Bais Yaakov High School","Secondary",NA,NA,NA,99,NA,99,208088
"180","2017-2018","668326","Bnos Chaya","Elementary",NA,139,NA,NA,NA,139,208088
"181","2017-2018","665690","Bond Academy","Elem/Sec",79,74,19,5,98,NA,208088
"182","2017-2018","879059","Bond Canadian Academy - Shanghai","Secondary",NA,NA,23,14,23,14,208088
"183","2017-2018","883417","Bond International College","Secondary",NA,NA,154,104,154,104,208088
"184","2017-2018","881534","Bonnechere Valley","Elementary",5,16,NA,NA,5,16,208088
"185","2017-2018","879363","Boren Sino-Canadian School","Secondary",NA,NA,148,103,148,103,208088
"186","2017-2018","882190","Brackendale Montessori","Elementary",55,55,NA,NA,55,55,208088
"187","2017-2018","876909","Braemar College","Secondary",NA,NA,171,143,171,143,208088
"188","2017-2018","877450","Braemar House School","Elementary",58,64,NA,NA,58,64,208088
"189","2017-2018","669078","Brain Power Learning Centre","Secondary",NA,NA,5,5,5,5,208088
"190","2017-2018","669461","Brainiacs Academy","Secondary",NA,NA,5,5,5,5,208088
"191","2017-2018","889814","Brampton Christian School","Elem/Sec",200,188,114,80,314,268,208088
"192","2017-2018","886912","Branksome Hall","Elem/Sec",NA,452,NA,456,NA,908,208088
"193","2017-2018","885193","Brantford Christian School","Elementary",103,114,NA,NA,103,114,208088
"194","2017-2018","665026","Bravo Education Centre","Elementary",46,26,NA,NA,46,26,208088
"195","2017-2018","665667","Brentway Academy Inc","Elementary",20,21,NA,NA,20,21,208088
"196","2017-2018","669755","Bright Start Academy","Elem/Sec",5,5,5,5,16,5,208088
"197","2017-2018","883674","BrightMinds Online School","Secondary",NA,NA,11,17,11,17,208088
"198","2017-2018","667145","Brighton","Elem/Sec",34,13,15,5,49,NA,208088
"199","2017-2018","881976","Brock Elementary School","Elementary",26,51,NA,NA,26,51,208088
"200","2017-2018","669584","Bronston Canadian Academy","Elem/Sec",19,16,13,12,32,28,208088
"201","2017-2018","875112","Bronte College","Secondary",NA,NA,209,172,209,172,208088
"202","2017-2018","889784","Brooke Valley School","Elementary",5,5,NA,NA,5,5,208088
"203","2017-2018","666831","Brooklin Mill Montessori School Inc","Elementary",38,37,NA,NA,38,37,208088
"204","2017-2018","667560","Brooklyn College","Secondary",NA,NA,82,55,82,55,208088
"205","2017-2018","668688","Brooklyn Markham","Secondary",NA,NA,5,11,5,11,208088
"206","2017-2018","883107","Brookside Christian School","Elem/Sec",20,24,5,5,NA,NA,208088
"207","2017-2018","888168","Brookside Parochial School","Elementary",14,23,NA,NA,14,23,208088
"208","2017-2018","883755","Brown Academy","Secondary",NA,NA,12,5,12,5,208088
"209","2017-2018","665400","Brussels Old Colony Christian School","Elementary",32,33,NA,NA,32,33,208088
"210","2017-2018","889040","Burlington Christian Academy","Elementary",84,78,NA,NA,84,78,208088
"211","2017-2018","882314","Burooj Academy","Elem/Sec",17,12,NA,NA,17,12,208088
"212","2017-2018","667951","Byron Woods Montessori","Elementary",20,18,NA,NA,20,18,208088
"213","2017-2018","882886","CANNY","Secondary",NA,NA,NA,5,NA,5,208088
"214","2017-2018","886029","CLI","Secondary",NA,NA,5,5,5,5,208088
"215","2017-2018","669618","CYN Jewish Academy","Secondary",NA,NA,33,44,33,44,208088
"216","2017-2018","882720","Calton Christian School","Elem/Sec",25,19,NA,NA,25,19,208088
"217","2017-2018","878260","Calvary Christian Academy","Elem/Sec",78,73,16,14,94,87,208088
"218","2017-2018","881783","Calvary Christian School","Elementary",79,88,NA,NA,79,88,208088
"219","2017-2018","885509","Calvin Christian School","Elementary",256,245,NA,NA,256,245,208088
"220","2017-2018","666360","Cambridge Academy - Markham","Secondary",NA,NA,5,5,5,5,208088
"221","2017-2018","887862","Cambridge Christian Elementary School","Elementary",123,136,NA,NA,123,136,208088
"222","2017-2018","889979","Cambridge International Academy","Elem/Sec",NA,NA,23,19,23,19,208088
"223","2017-2018","666590","Can-AIM High School","Secondary",NA,NA,16,10,16,10,208088
"224","2017-2018","666467","Canada Christian Academy","Elem/Sec",5,5,5,5,15,5,208088
"225","2017-2018","665694","Canada Imperial Elite Academy","Secondary",NA,NA,5,5,5,5,208088
"226","2017-2018","666769","Canada International College","Elem/Sec",NA,NA,36,19,36,19,208088
"227","2017-2018","666015","Canada Online Academy","Secondary",NA,NA,5,5,5,5,208088
"228","2017-2018","886476","Canada TEMS Academy","Secondary",NA,NA,5,5,5,5,208088
"229","2017-2018","668700","Canada Wendu Berkshire International Col","Secondary",NA,NA,5,NA,5,NA,208088
"230","2017-2018","666211","Canada eSchool /Ottawa Carleton E-School","Secondary",NA,NA,58,56,58,56,208088
"231","2017-2018","886980","Canada's National Ballet","Elem/Sec",26,40,43,53,69,93,208088
"232","2017-2018","669784","Canadian Academy of Secondary Studies","Secondary",NA,NA,5,NA,5,NA,208088
"233","2017-2018","668924","Canadian Christian Academy","Elem/Sec",23,23,11,16,34,39,208088
"234","2017-2018","879142","Canadian College Italy","Secondary",NA,NA,14,26,14,26,208088
"235","2017-2018","882768","Canadian Higher Learning Academy","Secondary",NA,NA,5,5,5,5,208088
"236","2017-2018","882181","Canadian Independent College","Secondary",NA,NA,31,24,31,24,208088
"237","2017-2018","879134","Canadian Int'l School of Hong Kong","Secondary",NA,NA,218,234,218,234,208088
"238","2017-2018","879304","Canadian International School of Egypt","Secondary",NA,NA,153,101,153,101,208088
"239","2017-2018","886930","Canadian Top Science Academy","Elem/Sec",NA,NA,37,30,37,30,208088
"240","2017-2018","879282","Canadian Trillium College - Nanjing","Secondary",NA,NA,36,24,36,24,208088
"241","2017-2018","879724","Canadian Trillium College-Jinhua","Secondary",NA,NA,45,64,45,64,208088
"242","2017-2018","879247","Canadian Trillium College-Shanghai","Secondary",NA,NA,51,47,51,47,208088
"243","2017-2018","665446","Canstem Education Private School","Elem/Sec",5,5,5,5,5,5,208088
"244","2017-2018","882374","Capital International Academy School","Secondary",NA,NA,5,5,5,5,208088
"245","2017-2018","668407","CareerQuest - Brampton","Secondary",NA,NA,5,5,5,5,208088
"246","2017-2018","668752","CareerQuest - Vaughan","Secondary",NA,NA,5,5,5,5,208088
"247","2017-2018","879266","Caribbean International Academy","Secondary",NA,NA,44,51,44,51,208088
"248","2017-2018","668855","Carlton Prep Academy","Secondary",NA,NA,23,15,23,15,208088
"249","2017-2018","886653","Carmel New Church School","Elem/Sec",11,17,NA,5,11,NA,208088
"250","2017-2018","882950","Cathedral Christian Academy","Elementary",40,28,NA,NA,40,28,208088
"251","2017-2018","668792","Cedar Echo Parochial School","Elementary",17,21,NA,NA,17,21,208088
"252","2017-2018","887439","Cedar Grove Christian Day School","Elementary",23,21,NA,NA,23,21,208088
"253","2017-2018","882985","Cedar Heights Parochial School","Elementary",16,18,NA,NA,16,18,208088
"254","2017-2018","883130","Cedar Ridge High School","Secondary",NA,NA,21,15,21,15,208088
"255","2017-2018","880639","Cedar Springs Parochial School","Elementary",22,15,NA,NA,22,15,208088
"256","2017-2018","880334","Cedar Valley School","Elem/Sec",13,13,5,5,NA,NA,208088
"257","2017-2018","669257","Cedarvale Christian School","Elem/Sec",13,22,5,5,NA,NA,208088
"258","2017-2018","882412","Cedarville Breezes Parochial School","Elementary",15,5,NA,NA,15,5,208088
"259","2017-2018","880094","Central Baptist Academy","Elem/Sec",103,101,5,5,NA,NA,208088
"260","2017-2018","877727","Central Montessori Schools","Elementary",254,223,NA,NA,254,223,208088
"261","2017-2018","877883","Centre Kinloss Parochial School","Elementary",11,5,NA,NA,11,5,208088
"262","2017-2018","665166","Century Private School","Elementary",51,38,NA,NA,51,38,208088
"263","2017-2018","669694","Century Private School HS","Secondary",NA,NA,23,15,23,15,208088
"264","2017-2018","885635","Cestar High School","Secondary",NA,NA,5,5,5,5,208088
"265","2017-2018","882672","Charing Cross Christian School","Elementary",36,26,NA,NA,36,26,208088
"266","2017-2018","885282","Chatham Christian","Elementary",120,115,NA,NA,120,115,208088
"267","2017-2018","888540","Chatham Christian High School","Secondary",NA,NA,36,35,36,35,208088
"268","2017-2018","663360","Chief Simeon McKay Education Centre","Elem/Sec",NA,NA,41,31,41,31,208088
"269","2017-2018","877824","Children's Garden Junior School","Elementary",42,29,NA,NA,42,29,208088
"270","2017-2018","878847","Children's House Montessori, The","Elementary",20,15,NA,NA,20,15,208088
"271","2017-2018","878138","Children's Montessori School, The","Elementary",42,59,NA,NA,42,59,208088
"272","2017-2018","888699","Chisholm Academy","Elem/Sec",24,5,52,22,76,NA,208088
"273","2017-2018","881375","Christadelphian Heritage College","Elementary",14,22,NA,NA,14,22,208088
"274","2017-2018","887684","Christian Academy of Western Ontario","Elementary",101,103,NA,NA,101,103,208088
"275","2017-2018","888612","Church of God Christian","Elem/Sec",23,23,15,20,38,43,208088
"276","2017-2018","878758","City Academy","Secondary",NA,NA,42,36,42,36,208088
"277","2017-2018","877921","Clanmore Montessori School","Elementary",91,66,NA,NA,91,66,208088
"278","2017-2018","883818","Claremont School, The","Elementary",38,27,NA,NA,38,27,208088
"279","2017-2018","669223","Clarke Christian Montessori Academy","Elementary",5,5,NA,NA,5,5,208088
"280","2017-2018","888176","Clear View Private School","Elementary",13,5,NA,NA,13,5,208088
"281","2017-2018","886246","Clearview Parochial","Elementary",18,16,NA,NA,18,16,208088
"282","2017-2018","885627","Clifford Amish Parochial #2","Elementary",10,5,NA,NA,10,5,208088
"283","2017-2018","665509","Clifford Amish Parochial No 1","Elementary",5,5,NA,NA,5,5,208088
"284","2017-2018","665597","Clinton International College","Secondary",NA,NA,18,10,18,10,208088
"285","2017-2018","667877","Clyfford Academy","Secondary",NA,NA,5,5,5,5,208088
"286","2017-2018","668898","Cobden Corner's Parchial School","Elementary",10,14,NA,NA,10,14,208088
"287","2017-2018","876682","Colin MacDonald Alternative School","Elementary",20,12,NA,NA,20,12,208088
"288","2017-2018","887552","College Park Elementary School","Elementary",94,81,NA,NA,94,81,208088
"289","2017-2018","880183","Columbia International College of Canada","Elem/Sec",5,5,972,770,NA,NA,208088
"290","2017-2018","879061","Columbia International School of Japan","Secondary",NA,NA,28,27,28,27,208088
"291","2017-2018","669701","Columbus Private School","Elementary",16,5,NA,NA,16,5,208088
"292","2017-2018","881198","Community Christian School","Elementary",52,26,NA,NA,52,26,208088
"293","2017-2018","885380","Community Christian School","Elementary",45,61,NA,NA,45,61,208088
"294","2017-2018","669150","Community Life Christian School","Elem/Sec",5,5,NA,5,5,5,208088
"295","2017-2018","888319","Concord College of Canada","Secondary",NA,NA,10,10,10,10,208088
"296","2017-2018","877832","Corinth Christian School","Elem/Sec",21,20,5,5,NA,NA,208088
"297","2017-2018","669233","Cornell International Academy","Secondary",NA,NA,5,5,5,5,208088
"298","2017-2018","886395","Cornerstone Christian School","Elementary",43,40,NA,NA,43,40,208088
"299","2017-2018","880825","Cornerstone Christian School","Elem/Sec",12,16,5,5,NA,NA,208088
